analysis,sla_locus,hla_subgroup,hla_locus,n_sla_sequences,mean_ensemble_probability,summed_ensemble_probability,sd_across_seeds,loo_mean_min,loo_mean_max,frac_sequences_top_subgroup,mean_seeds_voting_this_subgroup,edge_weight_mean_mass,edge_weight_summed_mass,stability_inverse_cv,original_figure2_threshold_note
class1,SLA-1,A32,A,89,0.005485,0.488126,0.006359,0.002699,0.006703,0.0,0.0112,0.005485,0.488126,0.8626,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,A33,A,89,0.009172,0.816291,0.009333,0.00561,0.01121,0.0,0.0225,0.009172,0.816291,0.9827,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,A68,A,89,0.02598,2.31224,0.021259,0.02023,0.031065,0.0225,0.1348,0.02598,2.31224,1.2221,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,A_Other,A,89,0.017586,1.565149,0.015139,0.012333,0.021537,0.0112,0.0674,0.017586,1.565149,1.1616,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B07,B,89,0.034216,3.045216,0.033081,0.024453,0.042469,0.0225,0.1461,0.034216,3.045216,1.0343,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B08,B,89,0.014505,1.290948,0.019114,0.00613,0.017659,0.0,0.0674,0.014505,1.290948,0.7589,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B13,B,89,0.012929,1.15068,0.016891,0.005821,0.015867,0.0225,0.0899,0.012929,1.15068,0.7654,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B14,B,89,0.010393,0.925014,0.011035,0.005742,0.012472,0.0,0.0562,0.010393,0.925014,0.9418,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B15,B,89,0.06049,5.38358,0.037019,0.049475,0.073803,0.1124,0.3371,0.06049,5.38358,1.634,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B18,B,89,0.007391,0.657769,0.010574,0.002723,0.00902,0.0,0.0337,0.007391,0.657769,0.699,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B27,B,89,0.010533,0.937406,0.012585,0.005436,0.013001,0.0,0.0449,0.010533,0.937406,0.8369,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B35,B,89,0.003038,0.270347,0.002597,0.001939,0.003504,0.0,0.0,0.003038,0.270347,1.1698,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B37,B,89,0.009793,0.871537,0.010461,0.006296,0.012164,0.0,0.0337,0.009793,0.871537,0.9361,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B38,B,89,0.003537,0.314778,0.005224,0.001216,0.004371,0.0,0.0,0.003537,0.314778,0.6771,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B39,B,89,0.002881,0.256432,0.003017,0.001562,0.003364,0.0,0.0,0.002881,0.256432,0.9549,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B40,B,89,0.10408,9.263157,0.154041,0.040826,0.129354,0.2247,0.7416,0.10408,9.263157,0.6757,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B41,B,89,0.017207,1.53142,0.019597,0.009376,0.020885,0.0,0.0787,0.017207,1.53142,0.878,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B44,B,89,0.008165,0.726647,0.004622,0.006891,0.009419,0.0112,0.0112,0.008165,0.726647,1.7666,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B46,B,89,0.010883,0.968544,0.007049,0.008679,0.013252,0.0,0.0225,0.010883,0.968544,1.5439,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B49,B,89,0.00679,0.604341,0.007327,0.004302,0.008446,0.0,0.0,0.00679,0.604341,0.9267,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B50,B,89,0.009302,0.827843,0.006952,0.007237,0.011538,0.0,0.0225,0.009302,0.827843,1.338,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B51,B,89,0.002651,0.235901,0.002753,0.001498,0.003246,0.0,0.0,0.002651,0.235901,0.9629,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B52,B,89,0.005322,0.473675,0.00425,0.003796,0.00658,0.0,0.0,0.005322,0.473675,1.2522,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B53,B,89,0.003934,0.350142,0.003433,0.002946,0.004849,0.0,0.0,0.003934,0.350142,1.1459,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B55,B,89,0.010249,0.912202,0.007003,0.008447,0.012634,0.0,0.0225,0.010249,0.912202,1.4635,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B56,B,89,0.009544,0.849424,0.010706,0.00615,0.011876,0.0,0.0337,0.009544,0.849424,0.8915,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B57,B,89,0.014288,1.271612,0.010087,0.011097,0.017654,0.0112,0.0449,0.014288,1.271612,1.4165,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B58,B,89,0.022767,2.026229,0.024892,0.016124,0.02843,0.0,0.0562,0.022767,2.026229,0.9146,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,B_Other,B,89,0.046793,4.164571,0.029332,0.038692,0.057381,0.0562,0.3146,0.046793,4.164571,1.5953,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,C01,C,89,0.014793,1.316545,0.01151,0.010514,0.017242,0.0225,0.0449,0.014793,1.316545,1.2852,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,C02,C,89,0.009562,0.851022,0.014421,0.003151,0.011699,0.0,0.0225,0.009562,0.851022,0.6631,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,C03,C,89,0.039619,3.526133,0.057776,0.015677,0.049476,0.0112,0.2584,0.039619,3.526133,0.6857,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,C04,C,89,0.009731,0.866103,0.010285,0.00569,0.012103,0.0,0.0337,0.009731,0.866103,0.9461,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,C05,C,89,0.020238,1.801206,0.022467,0.013478,0.02516,0.0,0.1573,0.020238,1.801206,0.9008,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,C06,C,89,0.009221,0.820654,0.013361,0.003287,0.011149,0.0,0.0225,0.009221,0.820654,0.6901,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,C07,C,89,0.013816,1.229641,0.014578,0.008283,0.017132,0.0112,0.0674,0.013816,1.229641,0.9477,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,C08,C,89,0.034698,3.088138,0.036653,0.022446,0.043104,0.0,0.1798,0.034698,3.088138,0.9467,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,C12,C,89,0.011353,1.010383,0.009542,0.008493,0.014162,0.0112,0.0112,0.011353,1.010383,1.1898,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,C14,C,89,0.011534,1.026516,0.010208,0.007626,0.014203,0.0225,0.0562,0.011534,1.026516,1.1299,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,C15,C,89,0.011877,1.057032,0.01262,0.006475,0.014677,0.0,0.0449,0.011877,1.057032,0.9411,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,C16,C,89,0.009908,0.881829,0.010781,0.005216,0.012024,0.0,0.0337,0.009908,0.881829,0.919,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,C17,C,89,0.017535,1.560607,0.022111,0.009631,0.021822,0.0,0.1461,0.017535,1.560607,0.793,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-1,C_Other,C,89,0.003551,0.316015,0.002448,0.002855,0.004218,0.0,0.0,0.003551,0.316015,1.4506,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,A01,A,2,0.010976,0.021952,0.012425,0.006423,0.013537,0.0,0.0,0.010976,0.021952,0.8834,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,A02,A,2,0.099544,0.199088,0.210477,0.005419,0.12372,0.0,1.0,0.099544,0.199088,0.4729,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,A03,A,2,0.016218,0.032436,0.027709,0.003921,0.020145,0.0,0.0,0.016218,0.032436,0.5853,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,A11,A,2,0.002695,0.00539,0.003654,0.001075,0.003227,0.0,0.0,0.002695,0.00539,0.7375,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,A23,A,2,0.03216,0.06432,0.034589,0.019375,0.03971,0.0,0.0,0.03216,0.06432,0.9298,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,A24,A,2,0.023483,0.046966,0.038375,0.006521,0.029288,0.0,0.0,0.023483,0.046966,0.6119,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,A25,A,2,0.02423,0.048459,0.039153,0.006884,0.029763,0.0,0.0,0.02423,0.048459,0.6189,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,A26,A,2,0.005086,0.010172,0.007519,0.001814,0.006342,0.0,0.0,0.005086,0.010172,0.6764,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,A29,A,2,0.037068,0.074135,0.077583,0.002393,0.046288,0.0,1.0,0.037068,0.074135,0.4778,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,A30,A,2,0.009288,0.018576,0.018714,0.000922,0.011525,0.0,0.0,0.009288,0.018576,0.4963,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,A31,A,2,0.005369,0.010739,0.009227,0.001246,0.006466,0.0,0.0,0.005369,0.010739,0.5819,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,A32,A,2,0.006499,0.012998,0.006777,0.003847,0.007957,0.0,0.0,0.006499,0.012998,0.959,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,A33,A,2,0.006253,0.012505,0.006178,0.004014,0.007799,0.0,0.0,0.006253,0.012505,1.0121,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,A68,A,2,0.009809,0.019619,0.008804,0.007409,0.012175,0.0,0.0,0.009809,0.019619,1.1142,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,A_Other,A,2,0.006618,0.013236,0.007808,0.003346,0.008037,0.0,0.0,0.006618,0.013236,0.8476,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B07,B,2,0.011522,0.023045,0.014257,0.00638,0.014268,0.0,0.0,0.011522,0.023045,0.8082,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B08,B,2,0.023977,0.047953,0.049265,0.001973,0.029927,0.0,0.0,0.023977,0.047953,0.4867,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B13,B,2,0.019774,0.039549,0.033076,0.005316,0.024605,0.0,0.0,0.019774,0.039549,0.5978,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B14,B,2,0.021597,0.043193,0.040532,0.003562,0.026954,0.0,0.5,0.021597,0.043193,0.5328,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B15,B,2,0.002391,0.004781,0.002071,0.001563,0.002828,0.0,0.0,0.002391,0.004781,1.1545,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B18,B,2,0.000606,0.001213,0.000402,0.000446,0.000691,0.0,0.0,0.000606,0.001213,1.5075,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B27,B,2,0.042663,0.085327,0.069358,0.011841,0.052863,0.0,1.0,0.042663,0.085327,0.6151,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B35,B,2,0.000584,0.001167,0.000167,0.000513,0.000622,0.0,0.0,0.000584,0.001167,3.497,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B37,B,2,0.017292,0.034584,0.026005,0.005896,0.021436,0.0,0.0,0.017292,0.034584,0.6649,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B38,B,2,0.007246,0.014492,0.013799,0.001102,0.009018,0.0,0.0,0.007246,0.014492,0.5251,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B39,B,2,0.004436,0.008872,0.007313,0.001186,0.005543,0.0,0.0,0.004436,0.008872,0.6066,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B40,B,2,0.149919,0.299837,0.305079,0.013614,0.187304,1.0,1.0,0.149919,0.299837,0.4914,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B41,B,2,0.010623,0.021246,0.008647,0.008228,0.012235,0.0,0.0,0.010623,0.021246,1.2285,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B44,B,2,0.00359,0.007181,0.005353,0.001209,0.004384,0.0,0.0,0.00359,0.007181,0.6707,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B46,B,2,0.015946,0.031892,0.025125,0.004856,0.019804,0.0,0.0,0.015946,0.031892,0.6347,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B49,B,2,0.018172,0.036343,0.027703,0.006783,0.022689,0.0,0.0,0.018172,0.036343,0.656,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B50,B,2,0.020386,0.040771,0.032619,0.006074,0.025432,0.0,0.0,0.020386,0.040771,0.625,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B51,B,2,0.00309,0.00618,0.003879,0.00146,0.00386,0.0,0.0,0.00309,0.00618,0.7966,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B52,B,2,0.011233,0.022467,0.017561,0.003794,0.013979,0.0,0.0,0.011233,0.022467,0.6397,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
class1,SLA-11,B53,B,2,0.007637,0.015274,0.008963,0.004139,0.009513,0.0,0.0,0.007637,0.015274,0.8521,The submitted Figure 2 drew an edge when ANY single prediction exceeded p>0.1 (diamond.ipynb). No threshold is applied here; every SLA-locus x HLA-subgroup pair is present with its raw metrics so the renderer can choose.
